,COW,Old Coup ID#,New Coup ID#,country,Month,Day,Year,Coup ID Type,Description of Event,Milan Description,Realized,Unrealized,Removed/ Targeted Name,Removed Title/ Position,Initiator/ Suspected,Ascended Name/ Suspected,Ascended/ Suspected Title/ Position,Event Summary,iso2,continent,datetime
25,615,6158862,61508081962,Algeria,8,8,1962,Civil War,coup,civil war,1,0,Benyoucef Benkhedda,premier,General Ben Bella,Ben Bella,General Ben Bella,A political crisis between Benkhedda and the more popular Ben Bella sparked a violent civil war which was resolved by the forced resignation of Benkhedda.,DZ,AF,8/8.0/1962.0
26,615,61592963,61509291963,Algeria,9,29,1963,0,Attempted Coup,0,0,1,Ben Bella,Ben Bella Government,Colonel Mohand,.,.,A powerful Colonel and tribal leader launched a military coup in attempt to overthrow the Ben Bella government. His coup was not successful,DZ,AF,9/29.0/1963.0
27,615,6151.1964,61501001964,Algeria,1,0,1964,0,Attempted Coup,0,0,1,Ben Bella,Ben Bella Government,Politicians/Reactionary Elements/Foreign Powers,.,.,A series of riots denouncing the Ben Bella government were seen as part of a plot and attempt to remove the independent Algerian regime and return the French colonial authorities to power. Those involved were to be executed.,DZ,AF,1/0.0/1964.0
28,615,61561965,61506191965,Algeria,6,19,1965,Coup,Coup,Coup,1,0,Ben Bella,Ben Bella Government,General Boumediene,Bournediene,Revolutionary Council Chairman/Junta,"Seeing faults in Ben Bella's governing style, General Bournediene siezed power, eliminated the constitution and the institutions emplaced by the previous regime and consolidated power in the Revolutionary Council.",DZ,AF,6/19.0/1965.0
29,615,615..1967,61500001967,Algeria,0,0,1967,0,Attempted Coup,0,0,1,Bournediene,Revolutionary Council Chairman General,"Col. Tahar Zbiri, Abdel Aziz Zerdani",.,.,"Seen as potentially weak or illegitimate, military officers launched a coup attempt in 1967 against Bournediene. The coup was unsuccessful and Bournediene tighted his reigns on the military afterwards.",DZ,AF,0/0.0/1967.0
30,615,6156.1991,61506001991,Algeria,6,0,1991,0,Attempted Coup,0,0,1,Chadli Bendjedid,President,muslim fundamentalists,.,.,Mass demonstrations and violence undertaken by the muslim fundamentalist opposition party are seen as an attempt to overthrow the Chadi regime.,DZ,AF,6/0.0/1991.0
31,615,61511192,61501111992,Algeria,1,11,1992,Coup,Coup,Coup,1,0,Chadli Bendjedid,President,military,military,Military High State Committee/Junta,"Concerned with the results of the national election which favored the islamists, the military anulled the election, ousted Chedi and took direct command of the country to ward off unrest.",DZ,AF,1/11.0/1992.0
32,615,6157292,61507021992,Algeria,7,2,1992,Coup,Coup,coup,1,0,.,.,Military High State Committee/Junta,Khaled Nazzar,General and Councilman of the Military High State Committee,"After the assasination of the nominal civilian head of government, the effective ruling power, the High State Committee military junta, emerged as the effective ruler by appointing General Nazzar as its figurehead and new effective leader of Algeria.",DZ,AF,7/2.0/1992.0
33,615,61513194,61501311994,Algeria,1,31,1994,Palace Coup,Coup,Coup,1,0,Khaled Nazzar,General and Councilman of the Military High State Committee,military junta/military junta chairman,Liamine Zeroual,General/President,The military-led High State Committee replaced Nazzar as their effective leader and forced him out of the Committee. A single military leader removed the Committee and ruled on his own accord.,DZ,AF,1/31.0/1994.0
34,540,54081575,54008151975,Angola,8,15,1975,Civil War,Coup,0,1,0,.,Provisional Government run by the Popular Movement for the Liberation of Angola,National Front for the Liberation of Angola Insurgent Forces,.,.,The Alvor Agreement left Angola run by a provisional independence government run by the leftist Popular Movement for the Liberation of Angola during the lead up to official indepedence date in November 1975. The US-backed rightist and nationalist National Front for the Liberation of Angola insurgents broke the Alvor Agreement cease fire and drove the Provisional Government out. No leader or government was recognized until Independence was official announced in November.,AO,AF,8/15.0/1975.0
35,540,540111175,54011111975,Angola,11,11,1975,Civil War,Coup,Civil War,1,0,.,.,Popular Movement for the Liberation of Angola forces,António Agostinho Neto,President/Indepence Leader,"After months of civil war between three independence movements, the Popular Movement for the Liberation of Angola forces managed to retake the capital and establish itself as the first officially independent government of Angola as of Novemeber 11th 1975 per the conditions of Alvor Agreement. Neto, a leader of the movement, established himself as President.",AO,AF,11/11.0/1975.0
36,160,1602352,16002031952,Argentina,2,3,1952,0,Conspiracy Coup,0,0,1,Juan Peron,President/Government,Francisco Suarez/Military,Francisco Suarez,retired Colonel,A coup conspiracy led by a retired colonel was discovered and aborted by police.,AR,SA,2/3.0/1952.0
37,160,16061655,16006161955,Argentina,6,16,1955,0,Attempted Coup,0,0,1,Juan Peron,President/Government,Officers and Soldiers of the Air Force and Navy,.,.,Members of the Navy and Air Force under the command of rebellious officers attempt to kill and seize power from Juan Peron by launching an air and ground attack against him during a mass supporter rally.,AR,SA,6/16.0/1955.0
38,160,16091655,16009231955,Argentina,9,23,1955,Coup,Coup,Coup,1,0,Juan Peron,President/Government,General Eduado Lonardi,Lonardi,General/Military Junta,A significant portion of the armed forces rebelled and seized control of the state after a few days of bloody battle. Peron fled the country and coup leader Lonardi established himself as the head of the Junta.,AR,SA,9/23.0/1955.0
39,160,160111355,16011131955,Argentina,11,13,1955,Palace Coup,Coup,Coup,1,0,General Eduado Lonardi,military junta,General Aramburu/Hardline Faction in Military Junta,Aramburu,General/Military Junta,A hardline faction of the military junta which vanquished Peron led by Aramburu seized power from its head General Lonardi. Aramburu as military leader ruled for about three years.,AR,SA,11/13.0/1955.0
40,160,16061056,16006101956,Argentina,6,10,1956,0,Attempted Coup,0,0,1,Aramburu,General/Military Junta,"Gen. Juan José Valle, Gen. Raúl Tanco",.,.,Generals Valle and Tanco were dismissed for their pro-Peron views and later headed a rebellion against the anti-Peronist regime. Their efforts were quickly putdown by loyal security forces. Valle was executed as an example to the Peronists.,AR,SA,6/10.0/1956.0
41,160,16022857,16002281957,Argentina,2,28,1957,0,Conspiracy Coup,0,0,1,Aramburu,General/Military Junta,peronists/foriegners,.,.,The government of Aramburu announced the arrests of at least 100 people in connection with a plot to return ousted president Person to power. General Aramburu's government also stated that the plot likely had accomplises in several neighboring countries.,AR,SA,2/28.0/1957.0
42,160,16061360,16006131960,Argentina,6,13,1960,0,Attempted Coup,,0,1,Arturo Frondizi,President,Gen. Fortunato Giovannoni,.,.,"President Arturo faced a coup from General Giovannoni. Although the exact reasoning is not known, the attempt occurred during a period of friction between the government and the military over the persecution of leftists groups in the country with the military believing the government was not acting harshly enough. The consequences for the attempt are not known.",AR,SA,6/13.0/1960.0
43,160,16010.196,16010001960,Argentina,10,0,1960,0,Attempted Coup,0,0,1,Arturo Frondizi,President,"Retired General Carlos Severo Toranzo Montero,",.,.,A retired General Montero led an uprising against President Frondizi in October 1960. The coup attempt failed and ended with Montero's arrest.,AR,SA,10/0.0/1960.0
44,160,16081161,16008111961,Argentina,8,11,1961,0,Attempted Coup,0,0,1,Arturo Frondizi,President,Airforce Officers and armed rebels,.,.,A high-ranking air force officer led a group of armed military and civilian rebels to Buenos Aires where the siezed several buildings in an attempt to oust President Frondizi.,AR,SA,8/11.0/1961.0
45,160,16032962,16003291962,Argentina,3,29,1962,Coup,Coup,Coup,1,0,Arturo Frondizi,President,Army Chief of Staff General Rual Poggi,Jose Maria Guido,President,"Army Chief of Staff General Rual Poggi surrounded the Presidential palace and arrested president Frondizi. Unwilling for himself or the military to take power, Rual Poggi installed Vice President Guido to the executive office as an interim president.",AR,SA,3/29.0/1962.0
46,160,160112362,16011231962,Argentina,11,23,1962,0,Conspiracy Coup,0,0,1,Jose Maria Guido,President,General Benjamin Menendez and other officers,.,.,Several current and retired miltiary officers were arrested for plotting to overthrow the Guido government.,AR,SA,11/23.0/1962.0
47,160,160121262,16012121962,Argentina,12,12,1962,0,Attempted Coup,0,0,1,Jose Maria Guido,President,Brig Cayo Antonio Alsina,.,.,"After being dismissed from his post, alledgely for his nationalist political sentiments, General Alsina and other officers and men attempted a coup against Guido. The coup lasted about 36 hours before Alsina surrendered.",AR,SA,12/12.0/1962.0
48,160,,16003111963,Argentina,3,11,1963,0,Conspiracy Coup,0,0,1,Jose Maria Guido,President,Brig. Alsina,.,.,Brig. Alsina allegedly conspired to overthrow President Guido. The reasons and the consequences are not know.,AR,SA,3/11.0/1963.0
49,160,1604263,16004021963,Argentina,4,2,1963,0,Attempted Coup,0,0,1,Jose Maria Guido,President,Issac Rojas and several other ranking military officers of the Navy.,.,,A group of hardline anti-Peronist generals conspired and attempted a coup to head off the upcoming elections in July. They and their allies launched attacks against government institutions nationwide but their coup failed to gain traction with the rest of the miltary and the public. They surrendered two days into their rebellion.,AR,SA,4/2.0/1963.0
50,160,16062866,16006281966,Argentina,6,28,1966,Coup,Coup,Coup,1,0,Arturo Umbero Illia,President,General Julio Alsogaray,General Juan Carlos Ongania,President/Junta Leader,"The military led by Julio Alsogaray , staged a coup against President Illia to stem the wave of Peronists elected to office and halt the economic policy failures. General Juan Carlos Ongania assumed the presidency in the aftermath of the coup.",AR,SA,6/28.0/1966.0
51,160,1606870,16006081970,Argentina,6,8,1970,Palace Coup,Coup,Coup,1,0,General Juan Carlos Ongania,President/Junta Leader,General Alejandro Lanusse,Alejandro Lanusse,General/Junta,"The dominant faction in the military junta toppled the Presidency of Ongania after brutal repression of students and workers weakened the government. The leader of the faction, Lanusse assumed power briefly before handing power over General Levingston.",AR,SA,6/8.0/1970.0
52,160,16032271,16003221971,Argentina,3,22,1971,Palace Coup,Coup,coup,1,0,Livingston,President/General,General Alejandro Lanusse,Alejandro Lanusse,General/Junta,Levingston was made president after the coup was made to oust Ongania by Lanusse. Levingston fell out of favor with Lanusse and the Junta after failing to end an insurgency. He was removed the by the junta and Lanusse himself took to the presidency.,AR,SA,3/22.0/1971.0
53,160,16010.1971,16010001971,Argentina,10,0,1971,0,Attempted Coup,0,0,1,General Alejandro Lanusse,Junta/President,Right-wing catholic priests and former president general Levingston,.,.,At least 65 people were arrested including right-wing catholics and former government officials for an attempted coup and unsuccessful uprising against General Lanusse.,AR,SA,10/0.0/1971.0
54,160,16032376,16003231976,Argentina,3,23,1976,Coup,Coup,Coup,1,0,Isabella Peron,President,military,Videla,General/Junta,"An economic crisis, a rising insurgency, and overall discontent over the return of Peron to power left Isabella Peron the target of a military coup. After the coup, the junta placed General Videla in charge.",AR,SA,3/23.0/1976.0
55,160,160121181,16012111981,Argentina,12,11,1981,Palace Coup,Coup,Coup,1,0,Roberto Eduardo Viola,President/General,General Leopoldo Galtieri.,Leopoldo Galtieri.,Commander Chief of the Army,Continuned economc problems and miltary infighting led to the forcible removal of Viola by junta head Galtieri. Power was consolidated around Galtieri after the coup.,AR,SA,12/11.0/1981.0
56,160,16061782,16006171982,Argentina,6,17,1982,Palace Coup,Coup,Coup,1,0,Leopoldo Galtieri.,Commander Chief of the Army/Junta,military,Nikolaides,military junta,"Argentina's defeat in the Falklands war, a war which Galtieri started, resulted in his removal from power by his own junta. He was replaced by a series of interim military leaders until elections in 1983.",AR,SA,6/17.0/1982.0
57,160,1604.1978,16004001987,Argentina,4,0,1987,0,Attempted Coup,0,0,1,Raul Alfonsin,President,Major Aldo Rico,.,.,Major Aldo Rico led a brief military rebellion in attempt to prevent the civilian government from prosecuting the military for human rights crimes during the war against leftist insurgents. Rico surrendered after securing concessions and assurances from the civilian leadership.,AR,SA,4/0.0/1987.0
58,160,16012390,16012031990,Argentina,12,3,1990,0,Attempted Coup,0,0,1,Carlos Menem,President,in support of Col. Mohamed Ali Scineldin,.,.,Col. Scineldin led a rebellion against the government as Menem made policies to exclude the military from directly influence government policy. His effort failed and resulted in several deaths. He was sentenced to life in prison.,AR,SA,12/3.0/1990.0
59,373,3733692,37303061992,Azerbaijan,3,6,1992,Revolt,coup,revolt,1,0,Mutalibov,President,Opposition Party protesters and armed forces,Mamedov,president,"After suffering great losses to the Armenians in battle, armed opposition party Azerbaijan Popular Front protesters seize government buildings. Elements of the military participate but the leadership refused to evict the mobs. Mutallibov is forced to relinquish power.",AZ,AS,3/6.0/1992.0
60,373,37351492,37305141992,Azerbaijan,5,14,1992,Palace Coup,coup,coup,1,0,Mamedov,President,Paraliment,Mutalibov,President,Mamedov was appointed by paraliment after Mutalibov was overthrown by the mob. Mamedov was overthrown in a paraliment coup after it decided to reinstate Mutalibov after further military defeats. Mutalibov stayed one day in office before he was again overthrown by a mob.,AZ,AS,5/14.0/1992.0
61,373,37351592,37305151992,Azerbaijan,5,15,1992,Revolt,coup,0,1,0,Mutalibov,President,Opposition Party protesters and armed forces,Isa Gambor,President,Mutalibov stayed one day in office before he was again overthrown by a mob. Isa Gambor was appointed as acting president by paraliment,AZ,AS,5/15.0/1992.0
62,373,37310594,37310051994,Azerbaijan,10,5,1994,0,Attempted Coup,0,0,1,Heyder Aliyev,President/dictator,Surat Huseynov/police/military,.,.,Colonel Surat Huseynov with police and military support attempted a coup against Aliyev. The coup was supressed.,AZ,AS,10/5.0/1994.0
63,373,37331395,37303131995,Azerbaijan,3,13,1995,0,Attempted Coup,0,0,1,Heyder Aliyev,President/dictator,Colonel Rovshan Javadov/military/Turkish government,.,.,A special unit of police and military under the command of Colonel Rovshan Javadov attempted a violent coup against Aliyev. Several days later his coup was violently suppresed.,AZ,AS,3/13.0/1995.0
64,373,3737.1995,37307001995,Azerbaijan,7,0,1995,0,Attempted Coup,0,0,1,Heyder Aliyev,President/dictator,Ayaz Mutalibov,.,.,The former USSR-era president Mutalibov led an attempted coup in August. The reasons and consequences are not known.,AZ,AS,7/0.0/1995.0
65,373,37310.1996,37310001996,Azerbaijan,10,0,1996,0,Attempted Coup,0,0,1,Heyder Aliyev,President/dictator,"Mutalibov, Surat Guseinov",.,.,Former President Mutalibov against attempted to overthrow the government with the aid and leadership of others. The reasons and the consequences are not known.,AZ,AS,10/0.0/1996.0
66,373,3732.1997,37302001997,Azerbaijan,2,0,1997,0,Conspiracy Coup,0,0,1,Heyder Aliyev,President/dictator,Mutalibov,.,.,Mutalibov was allegedly behind another conspiracy to overthrow the government. The reasons and consequences are not known.,AZ,AS,2/0.0/1997.0
67,373,3731.1998,37301001998,Azerbaijan,1,0,1998,0,Conspiracy Coup,0,0,1,Heyder Aliyev,President/dictator,Tasul Guliyev,.,.,Tasul Guliyev plotted against the government. The reasons and consequences are not known.,AZ,AS,1/0.0/1998.0
68,373,3733.2,37303002000,Azerbaijan,3,0,2000,0,Conspiracy Coup,0,0,1,Heyder Aliyev,President/dictator,Rasul Guliev,.,.,"Rasul Guliev, the Speaker of the National Assembly, conspired to overthrow the government. The reasons and consequences are not known.",AZ,AS,3/0.0/2000.0
69,373,373101905,37310192005,Azerbaijan,10,19,2005,0,Conspiracy Coup,0,0,1,Ilham Aliyev,President/dictator,Farhad Aliyev; Rasul Guliev,.,.,Farhad Aliyev and Rasul Guliev were opponents of President Aliyev. They were accused by the government plotting a coup and imprisoned.,AZ,AS,10/19.0/2005.0
70,692,692..1981,69200001981,Bahrain,0,0,1981,0,Attempted Coup,0,0,1,Isa Ibn Salman Al Khalifa,royal ruler,Islamic militants,.,.,Shiite militants attempted a coup in 1981.,BH,AS,0/0.0/1981.0
71,692,692123181,69212311981,Bahrain,12,31,1981,0,Conspiracy Coup,0,0,1,Isa Ibn Salman Al Khalifa,royal ruler,unspecified,.,.,Unspecified individuals conspired to overthrow the monarcy. Their reasons and consequences for the plot are not known.,BH,AS,12/31.0/1981.0
72,771,77181575,77108151975,Bangladesh,8,15,1975,Coup,Coup,Coup,1,0,Sheikh Mujib Rahman,president/dictator,military,Moshtaque Ahmed,military junta,"Shortly after declaring himself a practical dictator, a group of military junior officers violently overthrew and killed Rahman. Moshtaque Ahmed, one of the junior officers leading the coup, was appointed as president.",BD,AS,8/15.0/1975.0
73,771,77111675,77111061975,Bangladesh,11,6,1975,Palace Coup,Coup,Coup,1,0,Moshtaque Ahmed and Zuir Rahman,president/military leader,Khalhed Mosharraf,Khalhed Mosharraf/Shafat Jamil,military junta,"The military junta who appointed Ahmad as their head removed him. Khalhed, the leader of the coup, viewed this as a counter-coup against the forces who installed Moshtaque and Zuir. Khalhed ruled briefly.",BD,AS,11/6.0/1975.0
74,771,77111876,77111081976,Bangladesh,11,8,1976,Coup,Coup,coup,1,0,Khalhed Mosharraf/Shafat Jamil,military junta,Abu Taher and left-wing military personnel/,Abu Sayem,acting president,"Left-wing government and forces within the military revolted against Khalhed, killing him a coup which allowed Chief Justice Sayem to ascend to the acting presidency.",BD,AS,11/8.0/1976.0
75,771,77110277,77110021977,Bangladesh,10,2,1977,0,Attempted Coup,0,0,1,Zaiur Rahman,president,military,.,.,A group of soldiers attacked the Zaiur's residence and other key locations in an effort to overthrow the government. The coup attempt was not successful.,BD,AS,10/2.0/1977.0
76,771,771101780,77110171980,Bangladesh,10,17,1980,0,Attempted Coup,0,0,1,Zaiur Rahman,president,"4 colonels incl. Col. Alam, Col. Rashid",.,.,Four Colonels attempted to overthrow the Zaiur Rahman government. The reasons and consequences are not known.,BD,AS,10/17.0/1980.0
77,771,77153081,77105301981,Bangladesh,5,30,1981,0,Attempted Coup,0,0,1,Zaiur Rahman,president,MG Mohammed Abul Manzur,Abdus Sattar,president,Major General Manzur was angered by Rahman's decision to pass him up for promotion to the Chief of Army position and launched a successful assassination of Rahman but a failed coup. Leader Manzur was captured and killed as were several others attemptors. The coup failed because the army remained loyal to the government in the wake of the assasination.,BD,AS,5/30.0/1981.0
78,771,77132482,77103241982,Bangladesh,3,24,1982,Coup,Coup,Coup,1,0,Abdus Sattar,president,Hossain Ershad,Ahsanuddin Chowdhury,president,General Hossain Ershad overthrew Sattar and appointed himself martial law administrator while appointing Chowdhury president.,BD,AS,3/24.0/1982.0
79,771,77132782,77103271982,Bangladesh,3,27,1982,Palace Coup,Coup,Coup,1,0,Ahsanuddin Chowdhury,president,Hossain Ershad,Hossain Ershad,martial law administrator/dictator,Hossain forced Chowdhury out and assumed post as president and martial law administrator.,BD,AS,3/27.0/1982.0
80,771,77112690,77112061990,Bangladesh,12,6,1990,Revolt,Coup,revolt,1,0,Hossain Ershad,president,student and popular uprising led by opposition parties,Shahabuddin Ahmed,president/chief justice of the supreme court,"Opposition parties and groups backed by students brought the economy and most of the country to a standstill. As riots and protests intensified, Ershad looked to the United States for moral support in suppressing the movement. The United States did not support him and he was forced to hand power off to Ahmed, the chief justice of the supreme court.",BD,AS,12/6.0/1990.0
81,771,77152096,77105201996,Bangladesh,5,20,1996,0,Attempted Coup,0,0,1,Abdur Rahman Biswas,president,General Abu Saleh Mohammad Nasim,.,.,"General Nasim refused to dismiss two officers at the behest of Biswas and mobilized parts of the army to overthrow him. Military forces loyal to Biswas forced Nasim's surrender, ending the coup attempt.",BD,AS,5/20.0/1996.0
82,434,434102763,43410271963,Benin,10,27,1963,Coup,coup,coup,1,0,Hubert Maga,president,military,Chief of Staff General Soglo,,Protests and strikes turned to rioting against Maga. The disruptions prompted the military to remove him and seize power to restore order.,BJ,AF,10/27.0/1963.0
83,434,43452065,43405201965,Benin,5,20,1965,0,Conspiracy Coup,0,0,1,Sourou-Migan Apithy,president,"Valentin Djibude Aplogan and ""Committee of 104""",.,.,Civilians in Committee of 104 conspired against the president. The reasoning and consequences are not known.,BJ,AF,5/20.0/1965.0
84,434,434112965,43411291965,Benin,11,29,1965,Palace Coup,coup,other,1,0,Sourou-Migan Apithy,president,parliament/military/ General Soglo,Tometin/military,president/junta,Indecision and infighting between Apithy and his government triggered the military to again launch a coup to restore order. The military placed Tometin in charge shortly after the coup,BJ,AF,11/29.0/1965.0
85,434,434122265,43412221965,Benin,12,22,1965,Coup,coup,coup,1,0,Congacou Ahomadegbe,president/interim leader,General Soglo,Soglo,president/junta leader,When provisional president Congacou was handed power by General Soglo he had a constitutional mandate to hold elections quickly. Congacou refused this constitutional demand and was overthrown by Soglo.,BJ,AF,12/22.0/1965.0
86,434,434121767,43412171967,Benin,12,17,1967,Coup,coup,coup,1,0,Soglo,President/Junta Leader,rebellious junior officers,Major Kouandate,junta leader,Another round of political crisis coupled with a devastating general strike promoted a group of junior officers to depose General Soglo from power. Major Kouandate took power and established a provisional military government.,BJ,AF,12/17.0/1967.0
