,Unnamed: 0,COW,Old Coup ID#,New Coup ID#,country,month,day,year,coup_id,event,Milan Description,realized,Unrealized,Removed/ Targeted Name,Removed Title/ Position,Initiator/ Suspected,Ascended Name/ Suspected,Ascended/ Suspected Title/ Position,Event Summary,iso2,continent,datetime,date
21,22,615.0,61551458,61505141958.0,Algeria,5,14,1958,Foreign,coup,0,Yes,0.0,French Colonial Authorities,Colonial Government,Military,Massu,General/Military Junta,A group of dissident Gaullist officers led by General Massu seize control of Algeria and establish a military junta to promote the ascension of Charles De Gaulle to the French presidency.,DZ,AF,1958-05-01,1958-5
22,23,615.0,61542161,61504211961.0,Algeria,4,21,1961,Foreign,coup,0,Yes,0.0,French Colonial Authorities,Colonial Government,General Salan and other military officers,General Salan,"Retired Generals, Active military officers, French Nationalists",A group of retired and active French military officers temporary seize control of the French Algerian Colonal Adminstration and threaten France with invasion.,DZ,AF,1961-04-01,1961-4
23,24,615.0,,61504261961.0,Algeria,4,26,1961,Counter-Coup,coup,0,Yes,0.0,General Salan,military junta,French civilian forces and French loyalist military forces,Civil Authorities,.,The military junta established just five days prior was forced out by a combination of local and French homeland-inspired/directed civil disobedience and military force. Civilian authorities were reinstalled after the generals surrendered.,DZ,AF,1961-04-01,1961-4
24,25,615.0,6158862,61508081962.0,Algeria,8,8,1962,Civil War,coup,civil war,Yes,0.0,Benyoucef Benkhedda,premier,General Ben Bella,Ben Bella,General Ben Bella,A political crisis between Benkhedda and the more popular Ben Bella sparked a violent civil war which was resolved by the forced resignation of Benkhedda.,DZ,AF,1962-08-01,1962-8
25,26,615.0,61592963,61509291963.0,Algeria,9,29,1963,0,attempted coup,0,No,1.0,Ben Bella,Ben Bella Government,Colonel Mohand,.,.,A powerful Colonel and tribal leader launched a military coup in attempt to overthrow the Ben Bella government. His coup was not successful,DZ,AF,1963-09-01,1963-9
26,27,615.0,6151.1964,61501001964.0,Algeria,1,0,1964,0,attempted coup,0,No,1.0,Ben Bella,Ben Bella Government,Politicians/Reactionary Elements/Foreign Powers,.,.,A series of riots denouncing the Ben Bella government were seen as part of a plot and attempt to remove the independent Algerian regime and return the French colonial authorities to power. Those involved were to be executed.,DZ,AF,1964-01-01,1964-1
27,28,615.0,61561965,61506191965.0,Algeria,6,19,1965,Coup,coup,Coup,Yes,0.0,Ben Bella,Ben Bella Government,General Boumediene,Bournediene,Revolutionary Council Chairman/Junta,"Seeing faults in Ben Bella's governing style, General Bournediene siezed power, eliminated the constitution and the institutions emplaced by the previous regime and consolidated power in the Revolutionary Council.",DZ,AF,1965-06-01,1965-6
29,30,615.0,6156.1991,61506001991.0,Algeria,6,0,1991,0,attempted coup,0,No,1.0,Chadli Bendjedid,President,muslim fundamentalists,.,.,Mass demonstrations and violence undertaken by the muslim fundamentalist opposition party are seen as an attempt to overthrow the Chadi regime.,DZ,AF,1991-06-01,1991-6
30,31,615.0,61511192,61501111992.0,Algeria,1,11,1992,Coup,coup,Coup,Yes,0.0,Chadli Bendjedid,President,military,military,Military High State Committee/Junta,"Concerned with the results of the national election which favored the islamists, the military anulled the election, ousted Chedi and took direct command of the country to ward off unrest.",DZ,AF,1992-01-01,1992-1
31,32,615.0,6157292,61507021992.0,Algeria,7,2,1992,Coup,coup,coup,Yes,0.0,.,.,Military High State Committee/Junta,Khaled Nazzar,General and Councilman of the Military High State Committee,"After the assasination of the nominal civilian head of government, the effective ruling power, the High State Committee military junta, emerged as the effective ruler by appointing General Nazzar as its figurehead and new effective leader of Algeria.",DZ,AF,1992-07-01,1992-7
32,33,615.0,61513194,61501311994.0,Algeria,1,31,1994,Palace Coup,coup,Coup,Yes,0.0,Khaled Nazzar,General and Councilman of the Military High State Committee,military junta/military junta chairman,Liamine Zeroual,General/President,The military-led High State Committee replaced Nazzar as their effective leader and forced him out of the Committee. A single military leader removed the Committee and ruled on his own accord.,DZ,AF,1994-01-01,1994-1
33,34,540.0,54081575,54008151975.0,Angola,8,15,1975,Civil War,coup,0,Yes,0.0,.,Provisional Government run by the Popular Movement for the Liberation of Angola,National Front for the Liberation of Angola Insurgent Forces,.,.,The Alvor Agreement left Angola run by a provisional independence government run by the leftist Popular Movement for the Liberation of Angola during the lead up to official indepedence date in November 1975. The US-backed rightist and nationalist National Front for the Liberation of Angola insurgents broke the Alvor Agreement cease fire and drove the Provisional Government out. No leader or government was recognized until Independence was official announced in November.,AO,AF,1975-08-01,1975-8
34,35,540.0,540111175,54011111975.0,Angola,11,11,1975,Civil War,coup,Civil War,Yes,0.0,.,.,Popular Movement for the Liberation of Angola forces,António Agostinho Neto,President/Indepence Leader,"After months of civil war between three independence movements, the Popular Movement for the Liberation of Angola forces managed to retake the capital and establish itself as the first officially independent government of Angola as of Novemeber 11th 1975 per the conditions of Alvor Agreement. Neto, a leader of the movement, established himself as President.",AO,AF,1975-11-01,1975-11
35,36,160.0,1602352,16002031952.0,Argentina,2,3,1952,0,conspiracy coup,0,No,1.0,Juan Peron,President/Government,Francisco Suarez/Military,Francisco Suarez,retired Colonel,A coup conspiracy led by a retired colonel was discovered and aborted by police.,AR,SA,1952-02-01,1952-2
36,37,160.0,16061655,16006161955.0,Argentina,6,16,1955,0,attempted coup,0,No,1.0,Juan Peron,President/Government,Officers and Soldiers of the Air Force and Navy,.,.,Members of the Navy and Air Force under the command of rebellious officers attempt to kill and seize power from Juan Peron by launching an air and ground attack against him during a mass supporter rally.,AR,SA,1955-06-01,1955-6
37,38,160.0,16091655,16009231955.0,Argentina,9,23,1955,Coup,coup,Coup,Yes,0.0,Juan Peron,President/Government,General Eduado Lonardi,Lonardi,General/Military Junta,A significant portion of the armed forces rebelled and seized control of the state after a few days of bloody battle. Peron fled the country and coup leader Lonardi established himself as the head of the Junta.,AR,SA,1955-09-01,1955-9
38,39,160.0,160111355,16011131955.0,Argentina,11,13,1955,Palace Coup,coup,Coup,Yes,0.0,General Eduado Lonardi,military junta,General Aramburu/Hardline Faction in Military Junta,Aramburu,General/Military Junta,A hardline faction of the military junta which vanquished Peron led by Aramburu seized power from its head General Lonardi. Aramburu as military leader ruled for about three years.,AR,SA,1955-11-01,1955-11
39,40,160.0,16061056,16006101956.0,Argentina,6,10,1956,0,attempted coup,0,No,1.0,Aramburu,General/Military Junta,"Gen. Juan José Valle, Gen. Raúl Tanco",.,.,Generals Valle and Tanco were dismissed for their pro-Peron views and later headed a rebellion against the anti-Peronist regime. Their efforts were quickly putdown by loyal security forces. Valle was executed as an example to the Peronists.,AR,SA,1956-06-01,1956-6
40,41,160.0,16022857,16002281957.0,Argentina,2,28,1957,0,conspiracy coup,0,No,1.0,Aramburu,General/Military Junta,peronists/foriegners,.,.,The government of Aramburu announced the arrests of at least 100 people in connection with a plot to return ousted president Person to power. General Aramburu's government also stated that the plot likely had accomplises in several neighboring countries.,AR,SA,1957-02-01,1957-2
41,42,160.0,16061360,16006131960.0,Argentina,6,13,1960,0,attempted coup,,No,1.0,Arturo Frondizi,President,Gen. Fortunato Giovannoni,.,.,"President Arturo faced a coup from General Giovannoni. Although the exact reasoning is not known, the attempt occurred during a period of friction between the government and the military over the persecution of leftists groups in the country with the military believing the government was not acting harshly enough. The consequences for the attempt are not known.",AR,SA,1960-06-01,1960-6
42,43,160.0,16010.196,16010001960.0,Argentina,10,0,1960,0,attempted coup,0,No,1.0,Arturo Frondizi,President,"Retired General Carlos Severo Toranzo Montero,",.,.,A retired General Montero led an uprising against President Frondizi in October 1960. The coup attempt failed and ended with Montero's arrest.,AR,SA,1960-10-01,1960-10
43,44,160.0,16081161,16008111961.0,Argentina,8,11,1961,0,attempted coup,0,No,1.0,Arturo Frondizi,President,Airforce Officers and armed rebels,.,.,A high-ranking air force officer led a group of armed military and civilian rebels to Buenos Aires where the siezed several buildings in an attempt to oust President Frondizi.,AR,SA,1961-08-01,1961-8
44,45,160.0,16032962,16003291962.0,Argentina,3,29,1962,Coup,coup,Coup,Yes,0.0,Arturo Frondizi,President,Army Chief of Staff General Rual Poggi,Jose Maria Guido,President,"Army Chief of Staff General Rual Poggi surrounded the Presidential palace and arrested president Frondizi. Unwilling for himself or the military to take power, Rual Poggi installed Vice President Guido to the executive office as an interim president.",AR,SA,1962-03-01,1962-3
45,46,160.0,160112362,16011231962.0,Argentina,11,23,1962,0,conspiracy coup,0,No,1.0,Jose Maria Guido,President,General Benjamin Menendez and other officers,.,.,Several current and retired miltiary officers were arrested for plotting to overthrow the Guido government.,AR,SA,1962-11-01,1962-11
46,47,160.0,160121262,16012121962.0,Argentina,12,12,1962,0,attempted coup,0,No,1.0,Jose Maria Guido,President,Brig Cayo Antonio Alsina,.,.,"After being dismissed from his post, alledgely for his nationalist political sentiments, General Alsina and other officers and men attempted a coup against Guido. The coup lasted about 36 hours before Alsina surrendered.",AR,SA,1962-12-01,1962-12
47,48,160.0,,16003111963.0,Argentina,3,11,1963,0,conspiracy coup,0,No,1.0,Jose Maria Guido,President,Brig. Alsina,.,.,Brig. Alsina allegedly conspired to overthrow President Guido. The reasons and the consequences are not know.,AR,SA,1963-03-01,1963-3
48,49,160.0,1604263,16004021963.0,Argentina,4,2,1963,0,attempted coup,0,No,1.0,Jose Maria Guido,President,Issac Rojas and several other ranking military officers of the Navy.,.,,A group of hardline anti-Peronist generals conspired and attempted a coup to head off the upcoming elections in July. They and their allies launched attacks against government institutions nationwide but their coup failed to gain traction with the rest of the miltary and the public. They surrendered two days into their rebellion.,AR,SA,1963-04-01,1963-4
49,50,160.0,16062866,16006281966.0,Argentina,6,28,1966,Coup,coup,Coup,Yes,0.0,Arturo Umbero Illia,President,General Julio Alsogaray,General Juan Carlos Ongania,President/Junta Leader,"The military led by Julio Alsogaray , staged a coup against President Illia to stem the wave of Peronists elected to office and halt the economic policy failures. General Juan Carlos Ongania assumed the presidency in the aftermath of the coup.",AR,SA,1966-06-01,1966-6
50,51,160.0,1606870,16006081970.0,Argentina,6,8,1970,Palace Coup,coup,Coup,Yes,0.0,General Juan Carlos Ongania,President/Junta Leader,General Alejandro Lanusse,Alejandro Lanusse,General/Junta,"The dominant faction in the military junta toppled the Presidency of Ongania after brutal repression of students and workers weakened the government. The leader of the faction, Lanusse assumed power briefly before handing power over General Levingston.",AR,SA,1970-06-01,1970-6
51,52,160.0,16032271,16003221971.0,Argentina,3,22,1971,Palace Coup,coup,coup,Yes,0.0,Livingston,President/General,General Alejandro Lanusse,Alejandro Lanusse,General/Junta,Levingston was made president after the coup was made to oust Ongania by Lanusse. Levingston fell out of favor with Lanusse and the Junta after failing to end an insurgency. He was removed the by the junta and Lanusse himself took to the presidency.,AR,SA,1971-03-01,1971-3
52,53,160.0,16010.1971,16010001971.0,Argentina,10,0,1971,0,attempted coup,0,No,1.0,General Alejandro Lanusse,Junta/President,Right-wing catholic priests and former president general Levingston,.,.,At least 65 people were arrested including right-wing catholics and former government officials for an attempted coup and unsuccessful uprising against General Lanusse.,AR,SA,1971-10-01,1971-10
53,54,160.0,16032376,16003231976.0,Argentina,3,23,1976,Coup,coup,Coup,Yes,0.0,Isabella Peron,President,military,Videla,General/Junta,"An economic crisis, a rising insurgency, and overall discontent over the return of Peron to power left Isabella Peron the target of a military coup. After the coup, the junta placed General Videla in charge.",AR,SA,1976-03-01,1976-3
54,55,160.0,160121181,16012111981.0,Argentina,12,11,1981,Palace Coup,coup,Coup,Yes,0.0,Roberto Eduardo Viola,President/General,General Leopoldo Galtieri.,Leopoldo Galtieri.,Commander Chief of the Army,Continuned economc problems and miltary infighting led to the forcible removal of Viola by junta head Galtieri. Power was consolidated around Galtieri after the coup.,AR,SA,1981-12-01,1981-12
55,56,160.0,16061782,16006171982.0,Argentina,6,17,1982,Palace Coup,coup,Coup,Yes,0.0,Leopoldo Galtieri.,Commander Chief of the Army/Junta,military,Nikolaides,military junta,"Argentina's defeat in the Falklands war, a war which Galtieri started, resulted in his removal from power by his own junta. He was replaced by a series of interim military leaders until elections in 1983.",AR,SA,1982-06-01,1982-6
56,57,160.0,1604.1978,16004001987.0,Argentina,4,0,1987,0,attempted coup,0,No,1.0,Raul Alfonsin,President,Major Aldo Rico,.,.,Major Aldo Rico led a brief military rebellion in attempt to prevent the civilian government from prosecuting the military for human rights crimes during the war against leftist insurgents. Rico surrendered after securing concessions and assurances from the civilian leadership.,AR,SA,1987-04-01,1987-4
57,58,160.0,16012390,16012031990.0,Argentina,12,3,1990,0,attempted coup,0,No,1.0,Carlos Menem,President,in support of Col. Mohamed Ali Scineldin,.,.,Col. Scineldin led a rebellion against the government as Menem made policies to exclude the military from directly influence government policy. His effort failed and resulted in several deaths. He was sentenced to life in prison.,AR,SA,1990-12-01,1990-12
58,59,373.0,3733692,37303061992.0,Azerbaijan,3,6,1992,Revolt,coup,revolt,Yes,0.0,Mutalibov,President,Opposition Party protesters and armed forces,Mamedov,president,"After suffering great losses to the Armenians in battle, armed opposition party Azerbaijan Popular Front protesters seize government buildings. Elements of the military participate but the leadership refused to evict the mobs. Mutallibov is forced to relinquish power.",AZ,AS,1992-03-01,1992-3
59,60,373.0,37351492,37305141992.0,Azerbaijan,5,14,1992,Palace Coup,coup,coup,Yes,0.0,Mamedov,President,Paraliment,Mutalibov,President,Mamedov was appointed by paraliment after Mutalibov was overthrown by the mob. Mamedov was overthrown in a paraliment coup after it decided to reinstate Mutalibov after further military defeats. Mutalibov stayed one day in office before he was again overthrown by a mob.,AZ,AS,1992-05-01,1992-5
60,61,373.0,37351592,37305151992.0,Azerbaijan,5,15,1992,Revolt,coup,0,Yes,0.0,Mutalibov,President,Opposition Party protesters and armed forces,Isa Gambor,President,Mutalibov stayed one day in office before he was again overthrown by a mob. Isa Gambor was appointed as acting president by paraliment,AZ,AS,1992-05-01,1992-5
61,62,373.0,37310594,37310051994.0,Azerbaijan,10,5,1994,0,attempted coup,0,No,1.0,Heyder Aliyev,President/dictator,Surat Huseynov/police/military,.,.,Colonel Surat Huseynov with police and military support attempted a coup against Aliyev. The coup was supressed.,AZ,AS,1994-10-01,1994-10
62,63,373.0,37331395,37303131995.0,Azerbaijan,3,13,1995,0,attempted coup,0,No,1.0,Heyder Aliyev,President/dictator,Colonel Rovshan Javadov/military/Turkish government,.,.,A special unit of police and military under the command of Colonel Rovshan Javadov attempted a violent coup against Aliyev. Several days later his coup was violently suppresed.,AZ,AS,1995-03-01,1995-3
63,64,373.0,3737.1995,37307001995.0,Azerbaijan,7,0,1995,0,attempted coup,0,No,1.0,Heyder Aliyev,President/dictator,Ayaz Mutalibov,.,.,The former USSR-era president Mutalibov led an attempted coup in August. The reasons and consequences are not known.,AZ,AS,1995-07-01,1995-7
64,65,373.0,37310.1996,37310001996.0,Azerbaijan,10,0,1996,0,attempted coup,0,No,1.0,Heyder Aliyev,President/dictator,"Mutalibov, Surat Guseinov",.,.,Former President Mutalibov against attempted to overthrow the government with the aid and leadership of others. The reasons and the consequences are not known.,AZ,AS,1996-10-01,1996-10
65,66,373.0,3732.1997,37302001997.0,Azerbaijan,2,0,1997,0,conspiracy coup,0,No,1.0,Heyder Aliyev,President/dictator,Mutalibov,.,.,Mutalibov was allegedly behind another conspiracy to overthrow the government. The reasons and consequences are not known.,AZ,AS,1997-02-01,1997-2
66,67,373.0,3731.1998,37301001998.0,Azerbaijan,1,0,1998,0,conspiracy coup,0,No,1.0,Heyder Aliyev,President/dictator,Tasul Guliyev,.,.,Tasul Guliyev plotted against the government. The reasons and consequences are not known.,AZ,AS,1998-01-01,1998-1
67,68,373.0,3733.2,37303002000.0,Azerbaijan,3,0,2000,0,conspiracy coup,0,No,1.0,Heyder Aliyev,President/dictator,Rasul Guliev,.,.,"Rasul Guliev, the Speaker of the National Assembly, conspired to overthrow the government. The reasons and consequences are not known.",AZ,AS,2000-03-01,2000-3
68,69,373.0,373101905,37310192005.0,Azerbaijan,10,19,2005,0,conspiracy coup,0,No,1.0,Ilham Aliyev,President/dictator,Farhad Aliyev; Rasul Guliev,.,.,Farhad Aliyev and Rasul Guliev were opponents of President Aliyev. They were accused by the government plotting a coup and imprisoned.,AZ,AS,2005-10-01,2005-10
70,71,692.0,692123181,69212311981.0,Bahrain,12,31,1981,0,conspiracy coup,0,No,1.0,Isa Ibn Salman Al Khalifa,royal ruler,unspecified,.,.,Unspecified individuals conspired to overthrow the monarcy. Their reasons and consequences for the plot are not known.,BH,AS,1981-12-01,1981-12
71,72,771.0,77181575,77108151975.0,Bangladesh,8,15,1975,Coup,coup,Coup,Yes,0.0,Sheikh Mujib Rahman,president/dictator,military,Moshtaque Ahmed,military junta,"Shortly after declaring himself a practical dictator, a group of military junior officers violently overthrew and killed Rahman. Moshtaque Ahmed, one of the junior officers leading the coup, was appointed as president.",BD,AS,1975-08-01,1975-8
72,73,771.0,77111675,77111061975.0,Bangladesh,11,6,1975,Palace Coup,coup,Coup,Yes,0.0,Moshtaque Ahmed and Zuir Rahman,president/military leader,Khalhed Mosharraf,Khalhed Mosharraf/Shafat Jamil,military junta,"The military junta who appointed Ahmad as their head removed him. Khalhed, the leader of the coup, viewed this as a counter-coup against the forces who installed Moshtaque and Zuir. Khalhed ruled briefly.",BD,AS,1975-11-01,1975-11
73,74,771.0,77111876,77111081976.0,Bangladesh,11,8,1976,Coup,coup,coup,Yes,0.0,Khalhed Mosharraf/Shafat Jamil,military junta,Abu Taher and left-wing military personnel/,Abu Sayem,acting president,"Left-wing government and forces within the military revolted against Khalhed, killing him a coup which allowed Chief Justice Sayem to ascend to the acting presidency.",BD,AS,1976-11-01,1976-11
74,75,771.0,77110277,77110021977.0,Bangladesh,10,2,1977,0,attempted coup,0,No,1.0,Zaiur Rahman,president,military,.,.,A group of soldiers attacked the Zaiur's residence and other key locations in an effort to overthrow the government. The coup attempt was not successful.,BD,AS,1977-10-01,1977-10
75,76,771.0,771101780,77110171980.0,Bangladesh,10,17,1980,0,attempted coup,0,No,1.0,Zaiur Rahman,president,"4 colonels incl. Col. Alam, Col. Rashid",.,.,Four Colonels attempted to overthrow the Zaiur Rahman government. The reasons and consequences are not known.,BD,AS,1980-10-01,1980-10
76,77,771.0,77153081,77105301981.0,Bangladesh,5,30,1981,0,attempted coup,0,No,1.0,Zaiur Rahman,president,MG Mohammed Abul Manzur,Abdus Sattar,president,Major General Manzur was angered by Rahman's decision to pass him up for promotion to the Chief of Army position and launched a successful assassination of Rahman but a failed coup. Leader Manzur was captured and killed as were several others attemptors. The coup failed because the army remained loyal to the government in the wake of the assasination.,BD,AS,1981-05-01,1981-5
77,78,771.0,77132482,77103241982.0,Bangladesh,3,24,1982,Coup,coup,Coup,Yes,0.0,Abdus Sattar,president,Hossain Ershad,Ahsanuddin Chowdhury,president,General Hossain Ershad overthrew Sattar and appointed himself martial law administrator while appointing Chowdhury president.,BD,AS,1982-03-01,1982-3
78,79,771.0,77132782,77103271982.0,Bangladesh,3,27,1982,Palace Coup,coup,Coup,Yes,0.0,Ahsanuddin Chowdhury,president,Hossain Ershad,Hossain Ershad,martial law administrator/dictator,Hossain forced Chowdhury out and assumed post as president and martial law administrator.,BD,AS,1982-03-01,1982-3
79,80,771.0,77112690,77112061990.0,Bangladesh,12,6,1990,Revolt,coup,revolt,Yes,0.0,Hossain Ershad,president,student and popular uprising led by opposition parties,Shahabuddin Ahmed,president/chief justice of the supreme court,"Opposition parties and groups backed by students brought the economy and most of the country to a standstill. As riots and protests intensified, Ershad looked to the United States for moral support in suppressing the movement. The United States did not support him and he was forced to hand power off to Ahmed, the chief justice of the supreme court.",BD,AS,1990-12-01,1990-12
80,81,771.0,77152096,77105201996.0,Bangladesh,5,20,1996,0,attempted coup,0,No,1.0,Abdur Rahman Biswas,president,General Abu Saleh Mohammad Nasim,.,.,"General Nasim refused to dismiss two officers at the behest of Biswas and mobilized parts of the army to overthrow him. Military forces loyal to Biswas forced Nasim's surrender, ending the coup attempt.",BD,AS,1996-05-01,1996-5
81,82,434.0,434102763,43410271963.0,Benin,10,27,1963,Coup,coup,coup,Yes,0.0,Hubert Maga,president,military,Chief of Staff General Soglo,,Protests and strikes turned to rioting against Maga. The disruptions prompted the military to remove him and seize power to restore order.,BJ,AF,1963-10-01,1963-10
82,83,434.0,43452065,43405201965.0,Benin,5,20,1965,0,conspiracy coup,0,No,1.0,Sourou-Migan Apithy,president,"Valentin Djibude Aplogan and ""Committee of 104""",.,.,Civilians in Committee of 104 conspired against the president. The reasoning and consequences are not known.,BJ,AF,1965-05-01,1965-5
83,84,434.0,434112965,43411291965.0,Benin,11,29,1965,Palace Coup,coup,other,Yes,0.0,Sourou-Migan Apithy,president,parliament/military/ General Soglo,Tometin/military,president/junta,Indecision and infighting between Apithy and his government triggered the military to again launch a coup to restore order. The military placed Tometin in charge shortly after the coup,BJ,AF,1965-11-01,1965-11
